ID,lonid,latid,ObsYear,season,VANCAR.median,DANPLE.median,AGRAVAN.median,EURPRO.median,CHICAT.median,ASCMON.median,VANCAR.n,DANPLE.n,AGRAVAN.n,EURPRO.n,CHICAT.n,ASCMON.n
3188,-76.75,45.75,2007,fall,NA,195,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3189,-76.75,45.75,2008,fall,194,194,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3190,-76.75,45.75,2009,fall,NA,200,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3191,-76.75,45.75,2010,fall,NA,198,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3192,-76.75,45.75,2011,fall,NA,197,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3193,-76.75,45.75,2012,fall,203,203,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3194,-76.75,45.75,2013,fall,NA,194,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3195,-76.75,45.75,2014,fall,NA,200,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3196,-76.75,45.75,2015,fall,NA,199,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3197,-76.75,45.75,2018,fall,NA,200,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3198,-77.25,34.75,2009,fall,258,NA,259.5,NA,NA,NA,7,NA,14,NA,NA,NA
3199,-77.25,34.75,2010,fall,255,255,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3200,-77.25,34.75,2010,spring,NA,NA,116,NA,NA,NA,NA,NA,7,NA,NA,NA
3201,-77.25,35.25,2009,fall,258,NA,260,NA,NA,NA,7,NA,7,NA,NA,NA
3202,-77.25,35.25,2010,fall,NA,256,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3203,-77.25,35.25,2015,fall,NA,239.5,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
3204,-77.25,35.25,2017,fall,281,281,271,NA,NA,NA,14,10,28,NA,NA,NA
3205,-77.25,35.25,2017,spring,NA,109,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3206,-77.25,35.25,2018,fall,NA,242,242,NA,NA,NA,NA,10,14,NA,NA,NA
3207,-77.25,35.75,2012,fall,244,244,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3208,-77.25,36.25,2012,fall,235,235,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3209,-77.25,36.75,1982,fall,NA,217,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3210,-77.25,36.75,2009,spring,NA,151,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3211,-77.25,36.75,2015,fall,285,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA
3212,-77.25,37.25,2014,fall,278,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3213,-77.25,37.75,2010,fall,248,244,NA,NA,NA,NA,7,10,NA,NA,NA,NA
3214,-77.25,37.75,2011,fall,NA,190,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3215,-77.25,37.75,2012,spring,167,167,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3216,-77.25,37.75,2013,fall,195,195,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3217,-77.25,37.75,2014,fall,275,288,NA,NA,NA,NA,14,35,NA,NA,NA,NA
3218,-77.25,37.75,2015,fall,NA,234,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3219,-77.25,37.75,2016,fall,NA,248,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3220,-77.25,37.75,2017,fall,221,257,NA,NA,NA,NA,42,20,NA,NA,NA,NA
3221,-77.25,37.75,2018,fall,NA,224,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
3222,-77.25,37.75,2018,spring,NA,108,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
3223,-77.25,38.75,1978,spring,175,175,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3224,-77.25,38.75,1979,fall,NA,195,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3225,-77.25,38.75,1980,spring,NA,175,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3226,-77.25,38.75,1981,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3227,-77.25,38.75,1982,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3228,-77.25,38.75,1983,spring,176,176,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3229,-77.25,38.75,1989,spring,NA,161,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3230,-77.25,38.75,1990,fall,NA,188,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3231,-77.25,38.75,1991,fall,NA,209,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3232,-77.25,38.75,1993,fall,NA,197,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3233,-77.25,38.75,1994,fall,NA,196,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3234,-77.25,38.75,1995,fall,182,191,NA,NA,NA,NA,7,15,NA,NA,NA,NA
3235,-77.25,38.75,1996,fall,NA,188,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3236,-77.25,38.75,1997,fall,NA,193.5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3237,-77.25,38.75,1998,fall,NA,203,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3238,-77.25,38.75,1998,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3239,-77.25,38.75,2001,fall,260,209,NA,NA,NA,NA,84,45,NA,NA,NA,NA
3240,-77.25,38.75,2001,spring,155,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA
3241,-77.25,38.75,2002,fall,NA,187,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3242,-77.25,38.75,2002,spring,NA,136,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3243,-77.25,38.75,2003,spring,179,179,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3244,-77.25,38.75,2004,fall,NA,235.5,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
3245,-77.25,38.75,2004,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3246,-77.25,38.75,2005,fall,218,242.5,NA,NA,NA,NA,21,30,NA,NA,NA,NA
3247,-77.25,38.75,2005,spring,NA,176,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3248,-77.25,38.75,2006,fall,NA,218,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
3249,-77.25,38.75,2006,spring,NA,175,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
3250,-77.25,38.75,2007,fall,NA,224,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3251,-77.25,38.75,2007,spring,118,181,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3252,-77.25,38.75,2008,fall,NA,236,NA,NA,NA,NA,NA,25,NA,NA,NA,NA
3253,-77.25,38.75,2008,spring,159,169.5,NA,NA,NA,NA,7,10,NA,NA,NA,NA
3254,-77.25,38.75,2009,fall,247,237,NA,NA,NA,NA,7,20,NA,NA,NA,NA
3255,-77.25,38.75,2009,spring,NA,178,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
3256,-77.25,38.75,2010,fall,NA,230.5,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
3257,-77.25,38.75,2010,spring,NA,177,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3258,-77.25,38.75,2011,fall,NA,197.5,NA,NA,NA,NA,NA,30,NA,NA,NA,NA
3259,-77.25,38.75,2012,fall,247,258,NA,NA,NA,NA,112,215,NA,NA,NA,NA
3260,-77.25,38.75,2012,spring,NA,154,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3261,-77.25,38.75,2013,fall,251,251,NA,NA,NA,NA,14,25,NA,NA,NA,NA
3262,-77.25,38.75,2014,fall,297,297,NA,NA,NA,NA,21,10,NA,NA,NA,NA
3263,-77.25,38.75,2014,spring,NA,179,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3264,-77.25,38.75,2015,fall,192,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3265,-77.25,38.75,2015,spring,NA,176,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3266,-77.25,38.75,2016,spring,NA,177,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3267,-77.25,38.75,2017,fall,NA,198.5,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
3268,-77.25,38.75,2018,fall,NA,252.5,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
3269,-77.25,38.75,2018,spring,NA,181,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3270,-77.25,38.75,2019,fall,270,270,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3271,-77.25,38.75,2019,spring,NA,180,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3272,-77.25,39.25,1991,spring,181,181,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3273,-77.25,39.25,1992,spring,179,179,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3274,-77.25,39.25,1993,spring,NA,177,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3275,-77.25,39.25,1994,spring,NA,176,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3276,-77.25,39.25,1995,fall,196,196,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3277,-77.25,39.25,1995,spring,175,175,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3278,-77.25,39.25,1996,fall,NA,187,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3279,-77.25,39.25,1996,spring,NA,174,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3280,-77.25,39.25,1997,fall,NA,187,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3281,-77.25,39.25,1997,spring,NA,179,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3282,-77.25,39.25,1998,fall,NA,186,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3283,-77.25,39.25,1998,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3284,-77.25,39.25,1999,fall,NA,184,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3285,-77.25,39.25,1999,spring,177,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3286,-77.25,39.25,2000,fall,NA,190,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3287,-77.25,39.25,2000,spring,NA,176,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3288,-77.25,39.25,2001,fall,269,238,NA,NA,NA,NA,56,95,NA,NA,NA,NA
3289,-77.25,39.25,2001,spring,181,174,NA,NA,NA,NA,14,5,NA,NA,NA,NA
3290,-77.25,39.25,2002,fall,248,249.5,NA,NA,NA,NA,28,80,NA,NA,NA,NA
3291,-77.25,39.25,2002,spring,NA,160,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3292,-77.25,39.25,2003,fall,270,249,NA,NA,NA,NA,21,95,NA,NA,NA,NA
3293,-77.25,39.25,2003,spring,NA,179,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3294,-77.25,39.25,2004,fall,187,253,NA,NA,NA,NA,7,40,NA,NA,NA,NA
3295,-77.25,39.25,2004,spring,178,178,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3296,-77.25,39.25,2005,fall,192,226,NA,NA,NA,NA,63,80,NA,NA,NA,NA
3297,-77.25,39.25,2005,spring,170.5,170,NA,NA,NA,NA,14,15,NA,NA,NA,NA
3298,-77.25,39.25,2006,fall,NA,231.5,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
3299,-77.25,39.25,2007,fall,NA,279,NA,NA,NA,NA,NA,25,NA,NA,NA,NA
3300,-77.25,39.25,2007,spring,NA,177.5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3301,-77.25,39.25,2008,fall,279,245,NA,NA,NA,NA,42,95,NA,NA,NA,NA
3302,-77.25,39.25,2009,fall,250,245,NA,NA,NA,NA,28,40,NA,NA,NA,NA
3303,-77.25,39.25,2009,spring,171,117.5,NA,NA,NA,NA,14,20,NA,NA,NA,NA
3304,-77.25,39.25,2010,fall,291,219,NA,NA,NA,NA,14,45,NA,NA,NA,NA
3305,-77.25,39.25,2010,spring,177,177,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3306,-77.25,39.25,2011,fall,NA,269,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
3307,-77.25,39.25,2011,spring,NA,172.5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3308,-77.25,39.25,2012,fall,218,188,NA,NA,NA,NA,14,30,NA,NA,NA,NA
3309,-77.25,39.25,2012,spring,175,175,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3310,-77.25,39.25,2013,fall,301,252,NA,NA,NA,NA,21,5,NA,NA,NA,NA
3311,-77.25,39.25,2013,spring,NA,173,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3312,-77.25,39.25,2014,fall,217,252,NA,NA,NA,NA,7,45,NA,NA,NA,NA
3313,-77.25,39.25,2014,spring,179,179,NA,NA,NA,NA,21,15,NA,NA,NA,NA
3314,-77.25,39.25,2015,fall,220,220,NA,NA,NA,NA,14,10,NA,NA,NA,NA
3315,-77.25,39.25,2015,spring,NA,179,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3316,-77.25,39.25,2016,fall,NA,220,NA,NA,NA,NA,NA,35,NA,NA,NA,NA
3317,-77.25,39.25,2016,spring,114,178,NA,NA,NA,NA,14,5,NA,NA,NA,NA
3318,-77.25,39.25,2017,fall,252,252,NA,NA,NA,NA,42,30,NA,NA,NA,NA
3319,-77.25,39.25,2017,spring,155,175,NA,NA,NA,NA,21,30,NA,NA,NA,NA
3320,-77.25,39.25,2018,fall,NA,209,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3321,-77.25,39.25,2018,spring,NA,178,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3322,-77.25,39.75,1989,fall,NA,209,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3323,-77.25,39.75,1993,fall,199,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3324,-77.25,39.75,1994,fall,NA,212,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3325,-77.25,39.75,1995,fall,NA,250,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3326,-77.25,39.75,1998,fall,NA,235,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3327,-77.25,39.75,2004,fall,NA,236,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3328,-77.25,39.75,2008,fall,NA,193,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3329,-77.25,39.75,2008,spring,NA,154,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3330,-77.25,39.75,2010,fall,241,241,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3331,-77.25,39.75,2012,spring,133,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3332,-77.25,39.75,2013,fall,NA,245,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3333,-77.25,39.75,2015,fall,NA,222.5,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
3334,-77.25,40.25,1997,spring,NA,173,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3335,-77.25,40.25,2000,spring,NA,176,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3336,-77.25,40.25,2009,fall,NA,305,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3337,-77.25,40.25,2012,fall,NA,339,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3338,-77.25,40.25,2015,fall,246,246,NA,NA,NA,NA,14,10,NA,NA,NA,NA
3339,-77.25,41.25,1997,fall,NA,209,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3340,-77.25,41.25,1999,fall,NA,200,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3341,-77.25,41.25,2000,fall,NA,198,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3342,-77.25,41.25,2010,fall,NA,248,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3343,-77.25,42.75,2002,fall,NA,203,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3344,-77.25,42.75,2008,fall,NA,217.5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3345,-77.25,43.25,1998,spring,178,178,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3346,-77.25,43.25,1999,spring,NA,177,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3347,-77.25,43.25,2000,spring,NA,176,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3348,-77.25,43.25,2001,spring,NA,175,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3349,-77.25,43.25,2002,spring,180,180,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3350,-77.25,43.25,2003,spring,NA,173,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3351,-77.25,43.25,2004,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3352,-77.25,43.25,2005,spring,NA,176,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3353,-77.25,43.25,2006,spring,NA,175,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3354,-77.25,43.25,2007,spring,NA,174,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3355,-77.25,43.25,2008,spring,181,181,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3356,-77.25,43.25,2009,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3357,-77.25,43.25,2010,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3358,-77.25,43.25,2011,spring,NA,169,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3359,-77.25,43.25,2012,spring,175,175,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3360,-77.25,43.25,2013,fall,NA,200,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3361,-77.25,43.25,2013,spring,NA,174,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3362,-77.25,43.25,2014,spring,NA,179,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3363,-77.25,43.25,2015,spring,NA,181,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3364,-77.25,43.25,2016,spring,NA,177,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3365,-77.25,43.25,2017,spring,NA,174,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3366,-77.25,43.25,2018,spring,NA,173,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3367,-77.25,44.25,2010,spring,NA,144,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3368,-77.25,45.75,1988,fall,185,185,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3369,-77.25,45.75,1989,fall,NA,182,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3370,-77.25,45.75,1990,fall,NA,202,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3371,-77.25,45.75,1992,fall,NA,183,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3372,-77.25,45.75,1993,fall,184,184,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3373,-77.25,45.75,1994,fall,NA,184,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3374,-77.25,45.75,1995,fall,NA,183,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3375,-77.25,45.75,1996,fall,NA,188,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3376,-77.25,45.75,1997,fall,NA,186,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3377,-77.25,45.75,1999,fall,NA,184,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3378,-77.25,45.75,2000,fall,NA,183,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3379,-77.25,45.75,2001,spring,181,181,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3380,-77.25,45.75,2002,fall,NA,187,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3381,-77.25,45.75,2003,fall,NA,186,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3382,-77.25,45.75,2004,fall,185,185,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3383,-77.25,45.75,2004,spring,NA,164,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3384,-77.25,45.75,2005,fall,183,183,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3385,-77.25,45.75,2006,fall,NA,182,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3386,-77.25,45.75,2007,spring,NA,181,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3387,-77.25,45.75,2008,fall,NA,187,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3388,-77.25,45.75,2009,fall,NA,186,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3389,-77.25,45.75,2010,fall,NA,184,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3390,-77.25,45.75,2011,fall,NA,183,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3391,-77.25,45.75,2012,fall,189,189,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3392,-77.25,45.75,2018,spring,NA,180,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3393,-77.75,33.75,2008,fall,NA,243,243,NA,NA,NA,NA,5,7,NA,NA,NA
3394,-77.75,33.75,2009,fall,241,241,241,NA,NA,NA,7,5,7,NA,NA,NA
3395,-77.75,33.75,2010,fall,240,240,240,NA,NA,NA,7,5,7,NA,NA,NA
3396,-77.75,34.25,1997,fall,NA,228,228,NA,NA,NA,NA,5,7,NA,NA,NA
3397,-77.75,34.25,1998,fall,234,234,234,NA,NA,NA,7,5,7,NA,NA,NA
3398,-77.75,34.25,1999,fall,233,233,233,NA,NA,NA,7,5,7,NA,NA,NA
3399,-77.75,34.25,2000,fall,NA,239,239,NA,NA,NA,NA,5,7,NA,NA,NA
3400,-77.75,34.25,2001,fall,230,230,230,NA,NA,NA,7,5,7,NA,NA,NA
3401,-77.75,34.25,2002,fall,236,236,236,NA,NA,NA,7,5,7,NA,NA,NA
3402,-77.75,34.25,2003,fall,235,235,235,NA,NA,NA,7,5,7,NA,NA,NA
3403,-77.75,34.25,2004,fall,NA,NA,241,NA,NA,NA,NA,NA,7,NA,NA,NA
3404,-77.75,34.25,2005,fall,239,239,239,NA,NA,NA,7,5,7,NA,NA,NA
3405,-77.75,34.25,2006,fall,NA,238,238,NA,NA,NA,NA,5,7,NA,NA,NA
3406,-77.75,34.25,2007,fall,286,286,286,NA,NA,NA,7,5,7,NA,NA,NA
3407,-77.75,34.25,2008,fall,NA,279,279,NA,NA,NA,NA,5,7,NA,NA,NA
3408,-77.75,34.25,2009,fall,NA,256,256,NA,NA,NA,NA,5,7,NA,NA,NA
3409,-77.75,34.25,2012,fall,231,231,231,NA,NA,NA,7,5,7,NA,NA,NA
3410,-77.75,34.25,2012,spring,117,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3411,-77.75,34.75,2001,fall,194,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3412,-77.75,34.75,2012,spring,129,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3413,-77.75,34.75,2017,fall,NA,238,238,NA,NA,NA,NA,5,7,NA,NA,NA
3414,-77.75,37.25,2015,fall,NA,238,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3415,-77.75,37.25,2018,fall,265,265,265,NA,NA,NA,14,30,14,NA,NA,NA
3416,-77.75,37.25,2018,spring,131,131,NA,NA,NA,NA,14,10,NA,NA,NA,NA
3417,-77.75,37.75,1995,fall,196,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3418,-77.75,37.75,1996,spring,NA,167,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3419,-77.75,37.75,1997,spring,NA,165,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3420,-77.75,37.75,1998,spring,178,178,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3421,-77.75,37.75,1999,spring,NA,177,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3422,-77.75,37.75,2000,fall,NA,213,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3423,-77.75,37.75,2003,spring,172,172,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3424,-77.75,37.75,2004,fall,202,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3425,-77.75,37.75,2006,fall,NA,203,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3426,-77.75,37.75,2007,fall,202,202,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3427,-77.75,37.75,2008,fall,194,194,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3428,-77.75,37.75,2009,spring,NA,178,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3429,-77.75,37.75,2010,fall,NA,184,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3430,-77.75,37.75,2012,spring,175,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3431,-77.75,37.75,2014,fall,269,269,NA,NA,NA,NA,14,15,NA,NA,NA,NA
3432,-77.75,37.75,2015,fall,186,266,NA,NA,NA,NA,7,10,NA,NA,NA,NA
3433,-77.75,37.75,2018,fall,NA,235,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3434,-77.75,38.25,2003,spring,NA,152,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3435,-77.75,38.25,2005,spring,NA,169,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3436,-77.75,38.25,2013,fall,NA,223,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3437,-77.75,38.75,1992,fall,207,199.5,NA,NA,NA,NA,7,10,NA,NA,NA,NA
3438,-77.75,38.75,1995,fall,223,223,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3439,-77.75,38.75,1998,fall,NA,207,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3440,-77.75,38.75,1999,fall,NA,244.5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
3441,-77.75,38.75,1999,spring,NA,122,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3442,-77.75,38.75,2000,fall,NA,242,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
3443,-77.75,38.75,2001,fall,NA,238,NA,NA,NA,NA,NA,30,NA,NA,NA,NA
3444,-77.75,38.75,2002,fall,NA,237,NA,NA,NA,NA,NA,25,NA,NA,NA,NA
3445,-77.75,38.75,2002,spring,NA,152,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3446,-77.75,38.75,2003,fall,210.5,242.5,NA,NA,NA,NA,14,40,NA,NA,NA,NA
3447,-77.75,38.75,2004,fall,185,214,NA,NA,NA,NA,7,15,NA,NA,NA,NA
3448,-77.75,38.75,2005,fall,240,243,NA,NA,NA,NA,35,40,NA,NA,NA,NA
3449,-77.75,38.75,2005,spring,170,163,NA,NA,NA,NA,7,5,NA,NA,NA,NA
3450,-77.75,38.75,2006,fall,NA,239,NA,NA,NA,NA,NA,55,NA,NA,NA,NA
3451,-77.75,38.75,2006,spring,NA,162,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
3452,-77.75,38.75,2007,fall,NA,245,NA,NA,NA,NA,NA,40,NA,NA,NA,NA
3453,-77.75,38.75,2007,spring,NA,167,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3454,-77.75,38.75,2008,fall,NA,219,NA,NA,NA,NA,NA,30,NA,NA,NA,NA
3455,-77.75,38.75,2008,spring,NA,153,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3456,-77.75,38.75,2009,fall,206,221,NA,NA,NA,NA,21,65,NA,NA,NA,NA
3457,-77.75,38.75,2009,spring,NA,171,NA,NA,NA,NA,NA,25,NA,NA,NA,NA
